"pointName","timestamp","longitude","latitude"
"Route3","1608158134","9.178972","48.77145"
"Route3","1608158164","9.178733","48.771484"
"Route3","1608158194","9.178335","48.77169"
"Route3","1608158224","9.178083","48.771965"
"Route3","1608158254","9.177895","48.77222"
"Route3","1608158284","9.177633","48.772434"
"Route3","1608158314","9.177319","48.77263"
"Route3","1608158344","9.177271","48.77274"
"Route3","1608158374","9.177247","48.77275"
"Route3","1608158404","9.177268","48.77281"
"Route3","1608158434","9.177254","48.77252"
"Route3","1608158464","9.17776","48.77219"
"Route3","1608158494","9.1777525","48.771976"
"Route3","1608158524","9.176955","48.77113"
"Route4","1608157294","9.180578","48.775166"
"Route4","1608157324","9.180567","48.775265"
"Route4","1608157354","9.180272","48.775322"
"Route4","1608157384","9.179992","48.7754"
"Route4","1608157414","9.179777","48.775513"
"Route4","1608157444","9.179664","48.775608"
"Route4","1608157474","9.179434","48.775585"
"Route4","1608157504","9.179174","48.77547"
"Route4","1608157534","9.178937","48.775333"
"Route4","1608157564","9.178891","48.77526"
"Route4","1608157594","9.178967","48.77515"
"Route4","1608157624","9.179063","48.775036"
"Route4","1608157654","9.179197","48.774944"
"Route4","1608157684","9.179348","48.774845"
"Route4","1608157714","9.179615","48.77471"
"Route4","1608157744","9.179845","48.774616"
"Route4","1608157774","9.179929","48.77454"
"Route4","1608157804","9.179703","48.77442"
"Route4","1608157834","9.179423","48.77423"
"Route4","1608157864","9.179304","48.77414"
"Route4","1608157894","9.179125","48.773983"
"Route4","1608157924","9.178957","48.773872"
"Route4","1608157954","9.178831","48.773804"
"Route4","1608157984","9.178716","48.773716"
"Route4","1608158014","9.178609","48.773647"
"Route4","1608158044","9.178421","48.773533"
"Route4","1608158074","9.178256","48.773426"
"Route4","1608158104","9.178057","48.773323"
"Route4","1608158134","9.177893","48.77324"
"Route4","1608158164","9.177847","48.773182"
"Route4","1608158194","9.177912","48.773098"
"Route4","1608158224","9.177961","48.773037"
"Route4","1608158254","9.177857","48.77294"
"Route4","1608158284","9.177698","48.772842"
"Route4","1608158314","9.177478","48.772717"
"Route4","1608158344","9.17738","48.772644"
"Route4","1608158374","9.177249","48.77275"
"Route4","1608158404","9.177287","48.772785"
"Route4","1608158434","9.17728","48.772522"
"Route4","1608158464","9.177804","48.772095"
"Route4","1608158494","9.177725","48.771946"
"Route4","1608158524","9.176852","48.771152"
