"pointName","timestamp","longitude","latitude"
"Route3","1608158116","9.178972","48.77145"
"Route3","1608158146","9.178733","48.771484"
"Route3","1608158176","9.178335","48.77169"
"Route3","1608158206","9.178083","48.771965"
"Route3","1608158236","9.177895","48.77222"
"Route3","1608158266","9.177633","48.772434"
"Route3","1608158296","9.177319","48.77263"
"Route3","1608158326","9.177271","48.77274"
"Route3","1608158356","9.177247","48.77275"
"Route3","1608158386","9.177268","48.77281"
"Route3","1608158416","9.177254","48.77252"
"Route3","1608158446","9.17776","48.77219"
"Route3","1608158476","9.1777525","48.771976"
"Route3","1608158506","9.176955","48.77113"
"Route4","1608157276","9.180578","48.775166"
"Route4","1608157306","9.180567","48.775265"
"Route4","1608157336","9.180272","48.775322"
"Route4","1608157366","9.179992","48.7754"
"Route4","1608157396","9.179777","48.775513"
"Route4","1608157426","9.179664","48.775608"
"Route4","1608157456","9.179434","48.775585"
"Route4","1608157486","9.179174","48.77547"
"Route4","1608157516","9.178937","48.775333"
"Route4","1608157546","9.178891","48.77526"
"Route4","1608157576","9.178967","48.77515"
"Route4","1608157606","9.179063","48.775036"
"Route4","1608157636","9.179197","48.774944"
"Route4","1608157666","9.179348","48.774845"
"Route4","1608157696","9.179615","48.77471"
"Route4","1608157726","9.179845","48.774616"
"Route4","1608157756","9.179929","48.77454"
"Route4","1608157786","9.179703","48.77442"
"Route4","1608157816","9.179423","48.77423"
"Route4","1608157846","9.179304","48.77414"
"Route4","1608157876","9.179125","48.773983"
"Route4","1608157906","9.178957","48.773872"
"Route4","1608157936","9.178831","48.773804"
"Route4","1608157966","9.178716","48.773716"
"Route4","1608157996","9.178609","48.773647"
"Route4","1608158026","9.178421","48.773533"
"Route4","1608158056","9.178256","48.773426"
"Route4","1608158086","9.178057","48.773323"
"Route4","1608158116","9.177893","48.77324"
"Route4","1608158146","9.177847","48.773182"
"Route4","1608158176","9.177912","48.773098"
"Route4","1608158206","9.177961","48.773037"
"Route4","1608158236","9.177857","48.77294"
"Route4","1608158266","9.177698","48.772842"
"Route4","1608158296","9.177478","48.772717"
"Route4","1608158326","9.17738","48.772644"
"Route4","1608158356","9.177249","48.77275"
"Route4","1608158386","9.177287","48.772785"
"Route4","1608158416","9.17728","48.772522"
"Route4","1608158446","9.177804","48.772095"
"Route4","1608158476","9.177725","48.771946"
"Route4","1608158506","9.176852","48.771152"
